Eerste_voornaam;Totaal levend;1900;1910;1920;1930;1940;1950;1960;1970;1980;1990;2000
Maikel;76;0;0;0;0;0;8;58;166;264;100;27
Cas;76;0;0;0;0;0;0;3;7;44;216;377
Michaël;76;0;17;29;28;55;115;123;106;96;35;24
Luca;76;0;0;0;0;0;0;1;1;12;188;448
Edward;75;0;24;22;49;96;112;186;70;32;18;10
Ahmed;75;0;0;26;91;78;94;105;74;61;52;54
Gerben;75;330;31;63;49;47;47;101;151;103;69;31
Damian;75;0;0;0;0;0;1;1;3;13;305;307
Douwe;74;0;93;107;87;86;78;61;65;62;81;71
Walter;74;0;21;48;76;57;111;145;102;47;27;9
Mehmet;73;0;0;18;47;45;83;106;95;76;67;68
Ralph;72;0;3;5;7;12;24;100;217;111;64;51
Tijn;72;0;0;0;0;0;0;0;5;18;158;437
Anthonius;71;660;107;131;145;156;117;67;37;26;13;5
Rogier;71;0;0;4;4;7;21;122;243;99;54;24
Melvin;71;0;0;0;1;3;4;26;92;230;170;56
Marijn;71;0;0;5;4;4;4;19;80;104;197;180
Nico;70;0;52;59;76;77;89;86;101;78;39;14
Guus;70;0;0;6;10;13;14;11;40;79;142;285
Jonathan;70;0;3;3;2;2;5;11;81;150;151;185
Antoon;70;330;248;230;188;140;104;56;26;17;10;6
Quinten;70;0;3;2;1;1;1;4;10;39;241;293
Alfred;70;330;83;68;94;140;156;91;35;13;4;2
Mustafa;69;0;0;9;32;27;71;97;99;90;68;64
Charles;67;330;103;106;101;124;130;85;37;22;11;7
Fabian;67;0;0;0;0;0;3;28;99;128;139;162
Thijmen;67;0;10;3;3;4;2;2;7;30;153;372
Olivier;66;0;3;1;2;2;4;21;40;56;143;286
Oscar;66;0;10;13;12;15;50;110;82;67;78;105
Ruud;65;0;0;0;1;1;19;42;194;218;49;16
Hidde;65;0;7;11;11;10;7;8;24;60;172;257
Dick;65;0;41;52;102;132;106;72;48;38;15;6
Leo;64;0;107;134;138;139;100;55;28;23;13;13
Christianus;64;0;117;128;132;134;108;66;34;20;6;2
Theo;64;0;48;86;124;112;106;73;47;25;13;11
Björn;64;0;0;0;1;1;3;30;215;112;100;75
Bryan;63;0;0;0;0;0;4;26;28;139;207;112
Gerhard;63;0;107;141;134;111;103;69;38;22;11;6
Ronny;63;0;0;1;8;28;86;199;99;35;9;3
Jesper;63;0;0;0;0;0;0;1;24;112;200;189
Chris;63;0;3;3;4;6;11;15;65;117;143;163
Stef;63;0;0;0;0;0;1;4;27;107;199;186
Bjorn;62;0;0;0;0;0;0;9;120;129;152;113
Nicky;62;0;0;0;0;0;0;3;101;307;85;20
Twan;62;0;0;0;1;0;0;11;57;83;185;186
Cornelius;62;0;134;128;137;128;107;59;28;20;9;4
Wilhelm;62;0;183;177;164;120;93;54;27;19;9;7
Maurits;62;0;48;23;21;21;23;56;80;88;110;106
Glenn;62;0;0;0;0;28;47;28;38;172;133;48
Leonard;61;330;103;87;83;90;93;74;51;40;30;18
Jimmy;61;0;0;4;6;13;22;28;82;173;121;57
Mats;61;0;0;0;0;0;0;0;1;34;137;354
Joshua;61;0;0;0;0;0;1;4;28;97;172;214
Laurentius;61;0;86;89;103;106;115;65;35;30;19;5
Mario;61;0;0;5;9;19;95;148;100;62;17;9
Roger;61;0;0;10;10;16;56;219;96;40;11;3
Samuel;61;0;45;22;22;21;21;18;31;55;140;197
Jordi;60;0;0;0;0;0;0;4;55;157;226;57
Bertus;60;0;128;139;139;119;90;53;34;23;14;9
Anthonie;60;0;141;123;121;112;86;61;37;24;20;17
Jean;60;0;121;94;72;80;89;89;49;39;23;12
Olaf;59;0;0;2;5;11;37;123;93;51;78;68
Frits;59;660;114;100;133;136;90;38;28;27;15;12
Mitchell;59;0;0;0;0;0;1;3;14;218;197;51
Tobias;59;0;3;9;6;7;7;12;39;75;136;211
Ties;59;0;0;12;8;8;7;5;12;24;114;322
William;58;0;28;32;24;46;55;76;92;64;58;45
Ernst;58;0;90;81;79;68;96;87;55;38;18;7
Lodewijk;58;660;124;111;126;111;82;47;38;27;18;18
Jarno;58;0;0;0;0;0;0;20;79;69;194;117
Jaap;57;0;14;24;36;36;46;55;111;91;57;34
Mattheus;57;330;110;101;89;94;80;58;55;43;22;7
Jurgen;57;0;0;0;2;2;29;124;126;68;65;31
Emiel;57;0;10;6;9;12;19;55;132;114;99;24
Jelmer;57;0;3;7;3;3;5;9;63;131;163;96
Anthony;57;0;14;22;33;44;48;51;51;82;87;59
Stephanus;56;0;55;62;62;76;106;99;47;30;7;3
Kees;56;0;17;48;76;77;52;37;49;57;53;64
Barend;56;0;145;109;110;92;67;58;40;37;27;19
Youri;56;0;0;0;0;0;0;1;41;83;243;97
Tygo;56;0;0;0;0;0;0;0;0;0;77;412
Dion;55;0;0;0;0;0;1;15;31;99;191;121
Jim;55;0;0;3;1;5;12;14;26;97;162;139
Liam;55;0;0;0;0;0;0;0;2;6;84;387
Arno;55;0;3;2;5;7;33;126;157;62;29;10
Adam;54;330;45;39;35;27;20;18;20;25;48;269
Tristan;54;0;0;1;1;0;1;4;34;61;176;177
Jason;54;0;0;0;0;0;0;12;29;67;137;210
Tijmen;54;0;28;20;23;20;19;18;37;65;131;132
Joël;54;0;3;2;1;2;2;9;44;102;153;136
Rudi;54;0;17;22;51;59;123;100;50;18;5;3
Otto;54;330;114;106;108;81;72;59;38;20;21;28
Ronnie;53;0;0;0;1;5;29;154;154;57;10;3
Barry;53;0;0;0;2;3;3;86;218;86;28;10
Mick;53;0;0;0;0;0;0;2;9;72;149;213
Auke;52;330;48;63;65;64;57;53;56;48;43;32
Godefridus;52;0;93;120;115;114;102;47;14;7;2;0
Lukas;52;0;45;31;25;25;27;23;26;44;100;154
Ronaldus;51;0;0;0;3;31;177;117;20;11;2;0
Eddy;51;0;24;24;40;60;102;99;53;20;10;6
Harold;51;0;3;14;18;37;69;151;65;24;12;4
Matheus;51;0;69;87;88;86;91;53;39;24;9;6
Jurre;51;0;0;1;1;0;1;2;9;31;111;279
Coen;50;0;3;1;1;2;11;34;75;101;116;71
Carolus;50;330;83;97;94;104;107;51;17;8;4;1
Rudy;50;0;10;20;31;45;83;72;106;41;12;4
Piet;50;0;128;148;128;97;66;31;24;20;17;17
Yannick;50;0;0;0;0;0;0;0;6;105;182;120
Tjeerd;50;0;55;60;62;58;58;50;65;46;36;21
Davy;49;0;0;0;0;0;4;43;119;126;73;41
Philip;49;0;28;24;23;34;42;49;48;61;66;71
Julius;49;0;45;38;37;40;34;21;15;25;84;150
Freddy;49;0;17;29;52;71;102;90;39;14;4;2
Reinder;49;0;83;98;85;82;65;52;40;26;21;13
Giovanni;49;0;7;5;8;5;12;25;30;54;156;110
Huibert;49;0;114;96;95;84;67;53;33;25;18;10
Timothy;48;0;0;0;0;1;7;21;66;160;102;40
Fredericus;48;0;41;58;75;107;107;51;21;8;3;2
Lorenzo;48;0;0;0;2;1;2;5;13;77;179;119
Thom;48;0;0;1;0;1;1;2;5;87;174;127
Jeremy;47;0;0;0;0;0;1;13;40;91;166;80
Nathan;47;0;3;2;1;1;2;7;21;57;106;204
Bert;47;0;3;13;25;44;82;78;65;42;17;8
Roeland;47;0;7;15;16;37;68;71;78;54;28;8
Hubert;46;0;103;106;118;95;77;41;19;12;6;2
Jorn;46;0;0;0;0;0;0;5;44;84;144;107
Ibrahim;46;0;3;6;17;16;37;43;54;64;62;82
Roan;46;0;0;0;0;0;0;1;3;19;84;291
Marvin;46;0;0;0;0;1;2;22;93;155;83;23
Markus;46;0;7;12;12;13;36;111;105;52;13;15
Lammert;46;0;103;103;88;73;63;50;37;23;15;9
Wim;45;0;14;30;64;78;79;50;34;29;19;10
Mathias;45;0;65;93;110;99;70;31;14;15;12;15
Jacques;45;0;103;94;88;87;77;51;21;14;8;3
Siem;45;0;0;0;1;1;1;1;2;10;64;310
Henderikus;45;0;124;93;90;89;72;49;27;13;8;2
Boris;45;0;0;1;1;2;4;27;32;50;116;137
Ludovicus;45;0;76;122;99;97;78;40;16;8;5;2
Dani;44;0;0;0;0;0;0;1;0;2;128;250
Jos;44;0;0;1;4;9;19;36;119;114;48;14
Augustinus;44;0;76;86;87;105;84;35;16;10;5;2
Dean;44;0;0;0;0;0;1;4;4;20;62;289
Mika;44;0;0;0;0;0;0;0;0;1;140;232
Wiebe;44;0;52;57;62;54;49;38;40;36;36;35
Ahmet;44;0;0;7;25;22;47;57;49;50;47;52
Jack;43;0;10;11;14;17;28;26;20;33;52;171
Colin;43;0;0;0;0;2;2;8;21;66;137;123
Marcellinus;43;0;3;2;5;39;186;64;4;2;0;0
Onno;43;330;7;13;20;31;60;82;67;32;25;17
Hermannus;43;0;121;105;92;82;70;43;21;12;8;4
Jannes;43;330;100;86;77;67;54;41;28;21;31;18
Emile;42;0;48;49;43;48;46;59;64;34;26;10
Joeri;42;0;0;0;0;0;1;16;59;124;104;44
Sjors;41;0;0;0;1;0;2;8;53;125;94;60
Johannis;41;0;124;102;75;69;52;38;32;24;14;12
Boudewijn;40;0;17;24;42;47;41;51;49;39;34;24
Leroy;40;0;0;0;0;0;1;1;37;161;84;51
Kay;40;0;0;0;0;1;1;4;18;76;102;138
Theodoor;40;0;107;94;81;82;65;37;19;13;9;4
Mohammad;40;0;0;11;19;41;51;46;37;48;32;39
Machiel;39;330;59;68;62;56;48;46;44;29;18;9
Freek;39;0;0;1;2;4;8;20;67;93;82;48
Frederikus;39;330;52;58;59;79;83;49;18;10;3;2
Arnoud;39;0;21;9;11;15;32;82;86;41;27;14
Aloysius;39;330;34;77;81;111;76;23;8;4;3;1
Ian;39;0;0;0;1;2;3;7;24;58;121;110
Gert;39;0;3;2;8;22;57;89;55;34;19;10
Vince;39;0;0;0;0;0;0;1;2;25;69;237
Omar;38;0;0;5;15;13;24;36;44;57;64;61
Remko;38;0;0;7;7;7;23;93;126;33;10;3
Kasper;38;0;17;15;13;12;12;19;50;67;62;80
Mitchel;38;0;0;0;0;0;1;2;10;125;134;40
Tycho;38;0;0;0;0;0;1;6;9;22;119;163
Ferry;38;0;0;1;3;4;9;39;137;77;30;13
Carlo;38;0;0;4;10;13;36;71;47;66;45;6
Jorrit;38;0;0;0;3;2;2;14;77;87;74;57
Jerry;38;0;0;1;2;6;28;73;76;73;30;7
Alphonsus;38;0;107;97;87;107;68;21;6;2;2;1
Jules;38;0;14;26;20;21;21;15;21;44;78;87
Pierre;37;0;90;95;84;75;53;35;20;12;10;5
Felix;37;0;31;28;28;31;30;20;19;41;50;83
Wout;37;0;0;1;1;2;4;7;23;45;93;136
Matthias;37;0;14;14;17;16;20;14;37;60;67;73
Jurjen;37;0;38;35;31;32;32;35;55;49;34;24
Marnix;36;0;0;0;2;4;9;41;55;59;83;43
Ben;36;0;0;4;5;8;14;15;45;72;53;89
Boaz;36;0;0;0;0;0;1;1;6;12;53;241
Xander;36;0;0;0;0;0;1;24;46;40;99;89
Mart;36;0;0;0;0;1;1;1;10;57;136;94
Abel;36;0;17;32;20;21;17;16;12;21;51;139
Eelco;36;0;0;4;3;9;32;77;106;40;7;6
Bernhard;35;0;31;17;121;64;47;35;22;13;7;5
Lambert;35;0;45;76;64;59;55;43;24;15;8;4
Diederik;35;0;28;10;17;18;25;45;57;58;41;19
Mathieu;35;330;72;59;77;51;32;31;39;27;21;12
Merijn;35;0;0;0;0;0;1;12;45;43;83;109
Angelo;35;0;0;2;3;2;11;41;49;81;60;34
Raoul;35;0;0;3;4;4;12;42;57;64;69;27
Jelte;34;330;28;15;12;14;11;11;20;29;42;151
Jamie;34;0;0;0;0;0;0;1;15;46;80;152
Roelf;34;0;96;82;65;68;52;39;21;13;5;2
Everardus;34;0;45;81;74;71;59;36;14;9;3;1
Philippus;34;660;107;94;78;69;54;31;16;9;6;4
Melle;34;0;7;13;12;12;10;12;20;20;63;137
Rolf;34;0;10;11;20;24;36;51;68;44;21;8
Kenneth;34;0;7;1;4;25;45;39;36;72;38;5
Lennart;34;0;0;0;0;0;1;14;58;104;69;34
Werner;34;0;14;13;27;20;35;73;54;33;16;7
Iwan;34;0;7;6;9;17;27;70;60;20;35;25
Jort;34;0;0;1;0;0;1;2;13;26;95;148
Wilco;33;0;3;1;2;4;21;55;78;62;32;12
Henry;33;0;24;27;36;46;49;48;36;24;13;10
Stefanus;33;0;7;8;7;10;30;66;65;61;16;4
Davey;33;0;0;0;0;0;0;2;15;109;97;52
Rowan;33;0;0;0;0;0;0;1;9;56;110;100
Kai;33;0;0;0;1;3;3;5;22;37;73;135
Youssef;33;0;0;0;1;4;10;27;49;52;54;74
Aron;33;0;3;2;1;1;1;5;11;55;103;98
Wijnand;33;0;41;50;41;45;39;44;44;25;11;7
François;33;330;59;46;44;47;44;53;38;13;8;3
Randy;32;0;0;0;0;0;2;12;65;109;62;17
Meindert;32;0;62;63;55;52;44;34;28;19;12;9
Coenraad;32;0;76;65;68;50;43;37;23;18;11;4
Ismail;32;0;0;4;14;12;23;35;43;53;41;38
Gino;32;0;0;0;0;1;9;14;21;71;88;58
Tijs;32;0;3;10;6;6;5;6;28;29;60;129
James;32;0;14;11;17;35;36;24;20;19;19;87
Jay;32;0;0;0;0;0;0;0;6;17;112;133
Luke;32;0;0;0;0;0;0;1;9;40;119;94
Owen;32;0;0;0;0;0;0;4;8;9;81;168
Hein;32;0;38;46;43;33;30;31;30;25;30;31
Ralf;31;0;0;0;1;2;6;31;123;54;24;20
Roberto;31;0;0;0;4;11;48;55;47;42;24;11
Jip;31;0;0;0;0;0;0;0;3;32;82;149
Sil;31;0;0;1;1;0;0;1;5;16;81;161
Andy;31;0;0;0;0;1;7;39;58;72;49;25
El;31;0;0;13;24;29;63;73;28;8;6;4
Valentijn;31;0;3;1;2;2;3;11;15;26;55;148
Hasan;31;0;0;7;19;19;39;44;42;35;26;23
Tommy;31;0;10;5;8;6;5;14;55;75;59;35
Rachid;31;0;0;0;0;3;13;53;100;59;16;4
Hessel;31;0;17;29;24;25;21;23;25;32;55;44
Bauke;31;0;45;36;41;36;35;28;29;26;28;24
Manuel;31;0;7;12;12;11;14;34;51;38;28;60
Folkert;30;0;62;41;42;38;38;35;34;30;19;5
Wolter;30;0;55;73;54;52;45;33;22;16;8;5
Remy;30;0;0;3;2;2;5;26;64;97;37;15
Nils;30;0;0;0;1;2;6;16;43;49;63;71
Florian;30;0;0;1;1;1;1;5;19;49;58;121
Krijn;30;0;62;54;50;41;25;19;23;18;21;49
Eduardus;30;0;28;28;32;47;70;54;12;7;2;0
Carel;30;990;93;82;70;64;44;22;16;9;7;4
Bilal;29;0;0;1;1;1;2;6;17;52;82;82
Noud;29;0;3;0;0;0;0;2;7;20;44;180
Ivan;29;0;0;3;8;10;11;24;36;34;41;78
Nigel;29;0;0;0;0;0;1;1;5;65;100;70
